Street,FA,Count of Uid,Lat,Lng
83-35 139th Street,FA3,6,"407,118,811","-738,188,938"
83rd Avenue,FA10,1,"407,176,695","-737,935,863"
84 William Street,FA12,15,"407,080,047","-740,077,256"
84 William Street,Mitch,3,"407,080,047","-740,077,256"
84-10 Main Street,FA3,8,"40,713,163","-738,172,993"
84-31 Van Wyck Expressway,FA3,4,"407,077,452","-738,186,523"
85 John St,FA12,15,"407,084,932","-74,006,492"
85-25 120th Street,FA10,1,"407,023,668","-738,306,491"
86-25 Van Wyck Expressway,FA13,4,"407,067,121","-738,178,749"
87 Melrose Street,Mitch,1,"406,991,702","-73,934,158"
87 South 2nd Street,Mitch,1,"407,141,813","-739,641,547"
87-10 34th Avenue,FA3,1,"40,753,989","-73,879,845"
88 Clifton Place,FA11,5,"407,202,745","-740,645,732"
88 Greenwich St,Mitch,17,"407,077,981","-74,013,828"
88 Leonard St,Mitch,9,"407,170,355","-740,047,722"
88 Morgan St,FA11,21,"407,197,489","-740,359,794"
88-35 164th Street,FA3,5,"407,081,427","-73,797,273"
89 Monitor St,FA2,23,"407,121,096","-740,579,188"
89-29 163rd Street,FA3,2,"40,706,225","-737,974,925"
89-30 146th Street,FA3,1,"407,026,619","-73,809,569"
89-46 164th Street,FA3,18,"407,061,474","-737,967,583"
90 Christopher Columbus Drive,FA3,32,"407,194,159","-740,409,794"
90 Christopher Columbus Drive,Mitch,1,"407,194,159","-740,409,794"
90 Gold St,Mitch,11,"40,709,837","-740,038,923"
90 Washington St,Mitch,32,"407,080,189","-740,150,054"
90 Washington Street,FA6,1,"40,708,067","-740,147,816"
90 Washington Street,FA16,1,"40,708,067","-740,147,816"
90 Washington Street,Mitch,2,"40,708,067","-740,147,816"
90 West St,FA6,2,"407,101,634","-740,144,725"
90 West St,FA16,18,"407,101,634","-740,144,725"
90 William St,FA12,15,"407,081,041","-740,074,731"
90-10 149th Street,FA3,2,"40,703,061","-738,063,381"
90-11 149th Street,FA3,3,"407,031,699","-738,057,745"
90-23 149th Street,FA3,3,"407,026,408","-738,054,616"
90-36 149th Street,FA3,4,"407,023,567","-73,806,322"
91-85 139th Street,FA3,3,"406,995,724","-738,113,588"
93-24 Queens Boulevard,FA11,2,"407,311,447","-73,866,266"
94 Union Street,FA2,1,"40,713,528","-740,740,104"
94-15 133rd Avenue,Mitch,1,"40,675,639","-738,427,739"
95 Christopher St,Mitch,1,"407,335,403","-740,047,471"
95 Lenox Avenue,FA11,1,"408,011,747","-739,507,215"
95 Malcolm X Boulevard,FA11,1,"408,014,325","-739,510,099"
95 North 1st Street,Mitch,1,"40,716,147","-73,962,903"
95 W 95th St,FA12,8,"407,923,612","-73,967,443"
95 Wall St,Mitch,123,"407,047,955","-740,076,151"
95 Worth Street,Mitch,13,"407,162,061","-740,040,725"
96 Bedford Avenue,Mitch,1,"407,205,577","-739,551,054"
96-02 57th Avenue,FA3,3,"40,736,449","-73,865,082"
96-08 57th Avenue,FA3,2,"407,362,536","-738,639,365"
96-11 65th Road,FA4,2,"407,275,108","-738,590,436"
96-11 65th Road,FA11,3,"407,275,108","-738,590,436"
97-07 63rd Rd,FA8,7,"407,315,938","-738,606,057"
97-07 63rd Rd,Mitch,2,"407,315,938","-738,606,057"
97-10 62nd Dr,FA8,9,"407,324,113","-738,613,203"
97-22 57th Avenue,FA3,1,"407,363,403","-738,632,084"
97-25 64th Avenue,FA11,6,"407,301,492","-738,597,685"
97-37 63rd Rd,FA8,6,"407,318,958","-738,599,645"
97-37 63rd Rd,FA11,1,"407,318,958","-738,599,645"
97-40 62nd Dr,FA8,1,"407,325,379","-738,601,516"
98 John Street,Mitch,1,"40,707,859","-740,063,141"
98-01 67th Avenue,FA4,1,"407,240,942","-738,561,376"
98-09 64th Road,FA11,5,"40,730,059","-73,857,945"
98-09 64th Road,Mitch,1,"40,730,059","-73,857,945"
98-10 64th Avenue,FA11,4,"40,730,325","-738,580,384"
98-19 64th Avenue,FA11,3,"407,308,758","-738,572,059"
98-22 63rd Drive,FA11,2,"407,311,059","-738,579,949"
98-25 64th Road,FA11,3,"407,301,018","-738,573,129"
98-25 65th Avenue,FA11,1,"407,293,404","-738,569,688"
98-26 64th Avenue,FA11,5,"407,304,728","-738,574,909"
98-30 67th Avenue,FA4,1,"407,246,914","-738,549,228"
98-30 67th Avenue,FA11,8,"407,246,914","-738,549,228"
98-33 64th Avenue,FA11,2,"407,307,875","-738,572,554"
98-34 63rd Drive,FA11,4,"40,731,183","-73,857,622"
